"","points_5","points_4","points_3","points_2","points_1"
"9466","Fairy Tern","Blue Duck","Kōkako","Little Penguin","Kākāpō"
"9467","Tūī","New Zealand Falcon","Blue Duck","New Zealand Robin","North Island Brown Kiwi"
"9468","Harrier","Rockhopper Penguin","Kererū","Black Robin","Little Spotted Kiwi"
"9469","Bellbird","Barn Owl","Black Robin","New Zealand King Shag","North Island Brown Kiwi"
"9470","Antipodean Albatross","Arctic Skua","Australasian Gannet","Banded Dotterel","Bellbird"
"9471","Black shag","Kererū","Kākā","Tūī","Blue Duck"
"9472","Yellow-eyed penguin","Fantail","Stitchbird","Silvereye","Kingfisher"
"9473","Fairy Tern","New Zealand Robin","Morepork",NA,NA
"9474","Yellow-eyed penguin","Bittern","Mōhua","Takahē","South Island Kōkako"
"9475","New Zealand Falcon","Morepork","Kea","Antipodean Albatross","Kingfisher"
"9476","Yellow-eyed penguin","Takahē","New Zealand Robin","Stitchbird","Silvereye"
"9477","Kākā","Tūī","New Zealand Falcon","Harrier","Morepork"
"9478","Bittern","Kea","New Zealand Dotterel","Kākā","Kākāpō"
"9479","Yellow-eyed penguin","Black Robin","Bar-tailed Godwit","Grey Warbler","Silvereye"
"9480","Antipodean Albatross","Black Robin","Fairy Tern","Rock Wren","Yellow-eyed penguin"
"9481","Fairy Tern","New Zealand Dotterel","Banded Dotterel","Kākā","Blue Duck"
"9482","Yellow-eyed penguin",NA,NA,NA,NA
