"","points_5","points_4","points_3","points_2","points_1"
"3982","Gibson's Albatross","Northern Royal Albatross","Southern Royal Albatross","Antipodean Albatross",NA
"3983","Tūī","Yellow-eyed penguin","Fantail","Kākāpō","Kingfisher"
"3984","Antipodean Albatross","Black Robin","Kingfisher","Kākā","Kākāpō"
"3985","Tūī","North Island Brown Kiwi","New Zealand Falcon","Barn Owl","Takahē"
"3986","Bellbird","Yellow-eyed penguin","Black Robin","Blue Duck","Kākāpō"
"3987","Kererū","Kākāpō","Yellow-eyed penguin",NA,NA
"3988","Fernbird","Fiordland Crested Penguin","Kākā","Morepork","New Zealand Falcon"
"3989","Yellow-eyed penguin","Fairy Tern","Tomtit","Blue Duck","Tūī"
"3990","Antipodean Albatross","Mōhua","New Zealand Dotterel","Southern Brown Kiwi","South Island Kōkako"
"3991","Southern Royal Albatross","Antipodean Albatross","Gibson's Albatross","Black-billed Gull","Banded Dotterel"
"3992","Blue Duck","Kākā","Kākāpō","Little Spotted Kiwi","Yellow-eyed penguin"
"3993","Yellow-eyed penguin","Fiordland Crested Penguin","Little Spotted Kiwi","South Island Kōkako","Whenua Hou Diving Petrel"
"3994","Yellow-eyed penguin","Weka","Takahē",NA,NA
"3995","Bittern","Rockhopper Penguin","Fantail","Gibson's Albatross","Little Penguin"
"3996","Australasian Crested Grebe","Southern Brown Kiwi","Orange-fronted Parakeet","New Zealand Falcon","Black Robin"
"3997","Yellow-eyed penguin","Rockhopper Penguin",NA,NA,NA
"3998","Banded Dotterel","Bellbird","Fantail","Kingfisher","Morepork"
"3999","Rifleman","Kōkako","New Zealand Falcon","Saddleback","Tomtit"
"4000","Kākāpō","Morepork","Fantail","Tūī","Little Penguin"
"4001","Orange-fronted Parakeet","Kōkako","Banded Dotterel","Tomtit","New Zealand Robin"
"4002","Bittern","Black Robin","Wrybill","Kākāpō","Fiordland Crested Penguin"
"4003","Yellow-eyed penguin","Antipodean Albatross","Banded Dotterel","Bittern","Black Robin"
"4004","Yellow-eyed penguin","Antipodean Albatross","Campbell Black-Browed Albatross","Barn Owl","Black Robin"
"4005","Fantail","Kākāpō","Little Penguin","Silvereye","Tomtit"
"4006","Fairy Tern","Kākāpō","Tūī","Yellow-eyed penguin","Gibson's Albatross"
"4007","Little Penguin","Yellow-eyed penguin","Rockhopper Penguin",NA,NA
"4008","Kingfisher","Bittern","Rock Wren","Blue Duck","Saddleback"
"4009","Southern Royal Albatross","Orange-fronted Parakeet","Kererū","Kākā","Stitchbird"
"4010","Tūī","Buller's Mollymawk","Kingfisher","New Zealand King Shag","The Otago Shag"
"4011","Kererū","Bellbird","Black-billed Gull","Mōhua","Pūkeko"
"4012","Great Spotted Kiwi","Kererū","Kākāpō","Kākā","Tūī"
"4013","Little Spotted Kiwi","Yellow-eyed penguin","Antipodean Albatross","Black Stilt","Campbell Black-Browed Albatross"
"4014","Kākā","Kea","Stitchbird","Fantail","Little Penguin"
"4015","Kākā","Yellow-eyed penguin","Saddleback","Whitehead","Stitchbird"
"4016","Yellow-eyed penguin","Gibson's Albatross","Banded Dotterel","Blue Duck","Fairy Tern"
"4017","Yellow-eyed penguin",NA,NA,NA,NA
"4018","Yellow-eyed penguin","Rock Wren","Banded Dotterel","Australasian Crested Grebe","Black Stilt"
"4019","Antipodean Albatross","Hutton's Shearwater","Banded Dotterel","Kākā","Bittern"
"4020","Yellow-eyed penguin","White Heron","Stitchbird","South Island Pied Oystercatcher","Rock Wren"
"4021","Mōhua","Royal Spoonbill","Silvereye","Kākāpō","Black-fronted Tern"
"4022","Banded Dotterel","Fantail","Fiordland Crested Penguin","Kingfisher","Kākāpō"
"4023","Black Robin","Banded Dotterel","Little Spotted Kiwi","Blue Duck","Chatham Island Oystercatcher"
"4024","Kākā","Orange-fronted Parakeet","Buller's Mollymawk","Chatham Island Mollymawk","Stitchbird"
"4025","Yellow-eyed penguin","Banded Dotterel","Black Robin","Antipodean Albatross","Whenua Hou Diving Petrel"
"4026","Rock Wren","Kōkako","Kākā","Bellbird","Blue Duck"
"4027","Fairy Tern","Yellow-eyed penguin","Black Robin","Morepork","Fantail"
"4028","Yellow-eyed penguin","Great Spotted Kiwi","Little Spotted Kiwi","North Island Brown Kiwi","Southern Brown Kiwi"
"4029","Kākāpō","Fantail","Little Penguin","Morepork","Kingfisher"
"4030","Blue Duck",NA,NA,NA,NA
"4031","Kākā","Morepork","Fantail","Silvereye","New Zealand Falcon"
"4032","Yellow-eyed penguin","Orange-fronted Parakeet","Mōhua","Kākāpō","Kea"
"4033","Yellow-eyed penguin",NA,NA,NA,NA
"4034","Yellow-eyed penguin","Rock Wren","New Zealand Dotterel",NA,NA
"4035","Takahē","Rifleman","Kākāpō","New Zealand Robin","Little Spotted Kiwi"
"4036","Yellow-eyed penguin",NA,NA,NA,NA
"4037","Fantail","New Zealand Falcon","Blue Duck","Kākā","Yellow-eyed penguin"
"4038","New Zealand Falcon","Kea",NA,NA,NA
"4039","Takahē","Kererū","Kākā","Yellow-eyed penguin","Kākāpō"
"4040","Bar-tailed Godwit","New Zealand Falcon","Orange-fronted Parakeet","Kea","Buller's Mollymawk"
"4041","Kererū","Kingfisher","Rockhopper Penguin","Tūī","Black Robin"
"4042","Yellow-eyed penguin",NA,NA,NA,NA
"4043","Kākāpō",NA,NA,NA,NA
"4044","Yellow-eyed penguin","Black Robin","Fiordland Crested Penguin",NA,NA
"4045","Kea","Tūī","Yellow-eyed penguin","Kākāpō","Fantail"
"4046","Banded Dotterel","Takahē","Hutton's Shearwater","Kingfisher",NA
"4047","Kākāpō","Kōkako","Morepork","Stitchbird","Yellow-eyed penguin"
"4048","Black Robin","Little Penguin","Gibson's Albatross","Chatham Island Oystercatcher","Blue Duck"
"4049","Yellow-eyed penguin","Banded Dotterel","Black Stilt","Fairy Tern","Kākāpō"
"4050","Welcome Swallow","Black Stilt","Harrier","New Zealand Falcon","Kōkako"
"4051","Antipodean Albatross","Hutton's Shearwater","New Zealand Dotterel","Gibson's Albatross","The Otago Shag"
"4052","Yellow-eyed penguin","Kākāpō","Mōhua","Banded Dotterel","Southern Brown Kiwi"
"4053","Variable Oystercatcher","Rock Wren","Kingfisher","Royal Spoonbill","Scaup"
"4054","Tūī","Yellow-eyed penguin","Fantail","Kea","Southern Brown Kiwi"
"4055","Silvereye","Morepork","Kākā","New Zealand Falcon","Barn Owl"
"4056","Bittern","Kōkako","Tomtit","New Zealand Falcon","Yellow-eyed penguin"
"4057","Banded Dotterel","Kea","Morepork","Kererū","South Polar Skua"
"4058","Kererū",NA,NA,NA,NA
"4059","Takahē","Kākāpō","Little Spotted Kiwi","Morepork","New Zealand Falcon"
"4060","Chatham Island Oystercatcher","Kea","Kererū","New Zealand Falcon","Rifleman"
"4061","Yellow-eyed penguin",NA,NA,NA,NA
"4062","Yellow-eyed penguin","Tūī","Kererū","Antipodean Albatross","Kākā"
"4063","New Zealand Falcon","Black Robin","Yellow-eyed penguin","Southern Brown Kiwi","South Island Kōkako"
"4064","Kākāpō","Bittern","Banded Dotterel","South Island Kōkako","Southern Brown Kiwi"
"4065","Barn Owl","North Island Brown Kiwi","Tūī","Great Spotted Kiwi","Southern Brown Kiwi"
"4066","Black Stilt","Black Robin","Stitchbird","Welcome Swallow","Fantail"
"4067","Yellow-eyed penguin",NA,NA,NA,NA
"4068","Kōkako","Saddleback","Banded Dotterel","Black Robin","New Zealand Dotterel"
"4069","Little Penguin","Black Robin","Banded Dotterel","Rifleman","Morepork"
"4070","Yellow-eyed penguin","Black Robin","Antipodean Albatross","The Otago Shag","Southern Brown Kiwi"
"4071","Fairy Tern","Chatham Island Oystercatcher","Mōhua","Blue Duck","Black Stilt"
"4072","Banded Dotterel","Kākā","South Island Kōkako","South Island Pied Oystercatcher","Black Robin"
"4073","Little Penguin","Little Spotted Kiwi","Fiordland Crested Penguin","Mōhua","Orange-fronted Parakeet"
"4074","Kōkako","Fernbird","Royal Spoonbill","Kingfisher","Barn Owl"
"4075","Bellbird","Kererū","Kākāpō","Morepork","Kōkako"
"4076","Antipodean Albatross","Yellow-eyed penguin","Kākāpō","Fiordland Crested Penguin","Southern Brown Kiwi"
"4077","Antipodean Albatross","Mōhua","Fiordland Crested Penguin","Banded Dotterel","Kea"
"4078","Yellow-eyed penguin","Wrybill","Gibson's Albatross","Black-billed Gull","Shore Plover"
"4079","Tūī","Yellow-eyed penguin","Bellbird","Little Penguin","Southern Brown Kiwi"
"4080","Black Stilt","Black Robin","New Zealand Dabchick","Fernbird","Weka"
"4081","Bellbird","Bittern","Yellow-eyed penguin","Rockhopper Penguin","Kōkako"
"4082","Fernbird","New Zealand Dotterel","Bittern","Blue Duck","Silvereye"
"4083","Black Robin","Kererū","Kākā","Rifleman","Black shag"
"4084","Antipodean Albatross","Fiordland Crested Penguin","Gibson's Albatross","North Island Brown Kiwi","Little Spotted Kiwi"
"4085","Rifleman","Kākā","Tūī","Tomtit","Stitchbird"
"4086","New Zealand Dotterel","North Island Brown Kiwi","Orange-fronted Parakeet","Tūī","Black-billed Gull"
"4087","Welcome Swallow","Fantail","Tomtit","Black Robin","Silvereye"
"4088","Fiordland Crested Penguin","Saddleback","Blue Duck","Antipodean Albatross","New Zealand Dotterel"
"4089","Kākāpō","Blue Duck","Little Spotted Kiwi","Chatham Island Oystercatcher","Chatham Island Mollymawk"
"4090","North Island Brown Kiwi","Bellbird","Fantail","Little Penguin","Rifleman"
"4091","Kea","Kākā","Kākāpō","Southern Royal Albatross","Gibson's Albatross"
"4092","Blue Duck","Kākā","Kākāpō","Mōhua","Antipodean Albatross"
"4093","Yellow-eyed penguin","Orange-fronted Parakeet","Morepork","Kākāpō","Kingfisher"
"4094","Tūī","Kingfisher","Kererū","Black-billed Gull","Black Stilt"
"4095","Banded Dotterel","Yellow-eyed penguin","Black-billed Gull","Kākāpō","Blue Duck"
"4096","Black Robin","Kākā","Takahē","Blue Duck","New Zealand Dotterel"
"4097","Kea","Kākāpō","Barn Owl","Black Robin","Bittern"
"4098","New Zealand Dotterel","Kingfisher","New Zealand Robin","Kākāpō","Grey Warbler"
"4099","Kākā","South Island Kōkako","Kākāpō","Kōkako","Little Spotted Kiwi"
"4100","New Zealand Falcon","Northern Royal Albatross","Kākā","Stitchbird","Black Robin"
"4101","Antipodean Albatross","Black Robin","Chatham Island Mollymawk","New Zealand Dotterel","Blue Duck"
"4102","Banded Dotterel","Bar-tailed Godwit","Black Robin","Fairy Tern","Grey Warbler"
"4103","Fantail","New Zealand Falcon","Silvereye","Bar-tailed Godwit","Grey Warbler"
"4104","Banded Dotterel","New Zealand Dotterel","Black Stilt","Black-billed Gull","Yellow-eyed penguin"
"4105","Yellow-eyed penguin","Southern Brown Kiwi","Mōhua","Little Spotted Kiwi","Black Robin"
"4106","Yellow-eyed penguin","Banded Dotterel","Black Robin","Stitchbird","Chatham Island Oystercatcher"
"4107","Kererū",NA,NA,NA,NA
"4108","Yellow-eyed penguin","Banded Dotterel","Bellbird","Black-fronted Tern","Gibson's Albatross"
"4109","Black Robin","Blue Duck","Kākā","Kākāpō","Little Spotted Kiwi"
"4110","North Island Brown Kiwi","Fantail","Rifleman","Kererū","Weka"
"4111","Yellow-eyed penguin","Weka","Takahē","Southern Royal Albatross","Orange-fronted Parakeet"
"4112","Yellow-eyed penguin","Black Robin","Mōhua","New Zealand Robin","Rifleman"
"4113","Saddleback","Hutton's Shearwater","Banded Dotterel","Kākā","South Island Kōkako"
"4114","Kingfisher","Kākā","Kākāpō","Little Penguin","Blue Duck"
"4115","Southern Royal Albatross","Yellow-eyed penguin","Light-mantled Sooty Albatross","Fiordland Crested Penguin","Chatham Island Mollymawk"
"4116","Yellow-eyed penguin","Gibson's Albatross","Orange-fronted Parakeet","Fairy Tern","New Zealand Dotterel"
"4117","Shore Plover","Kākā","Kākāpō","Gibson's Albatross","Black Robin"
"4118","South Polar Skua","Antipodean Albatross","Bittern","Chatham Island Mollymawk","South Island Kōkako"
"4119","Blue Duck","Little Penguin","New Zealand Dotterel","Pied Shag","Kingfisher"
"4120","Kākāpō","Banded Dotterel","Antipodean Albatross","Blue Duck","Chatham Island Mollymawk"
"4121","Kea","Yellow-eyed penguin","Black Stilt","New Zealand Falcon","South Island Kōkako"
"4122","Yellow-eyed penguin","The Otago Shag","Buller's Mollymawk","Fiordland Crested Penguin","Great Spotted Kiwi"
"4123","Morepork","Harrier","Blue Duck","Fantail","Kingfisher"
"4124","Australasian Gannet","Bellbird","Fairy Tern","Fantail","Harrier"
"4125","Fantail","South Island Pied Oystercatcher","Takahē","Royal Spoonbill","Tūī"
"4126","Rifleman","New Zealand Falcon","Kākā","Kea","Yellow-eyed penguin"
"4127","New Zealand King Shag","Black-billed Gull","Brown Teal","Orange-fronted Parakeet","North Island Brown Kiwi"
"4128","Mōhua","Barn Owl","Kingfisher","Welcome Swallow","Kōkako"
"4129","Yellow-eyed penguin",NA,NA,NA,NA
"4130","Harrier","Kākā","Kākāpō","Takahē","New Zealand Falcon"
"4131","Bellbird","Banded Dotterel","Kōkako","Black Robin","Blue Duck"
"4132","New Zealand Falcon","Bar-tailed Godwit","Fairy Tern","Rifleman","Fernbird"
"4133","Yellow-eyed penguin","Little Spotted Kiwi","Kererū","Kea","Tūī"
"4134","Black Robin","Kōkako","Rockhopper Penguin","Little Spotted Kiwi","Banded Dotterel"
"4135","Yellow-eyed penguin","Black Petrel","Kākā","Bar-tailed Godwit","New Zealand Robin"
"4136","Pūkeko","Harrier","Fantail","Welcome Swallow","Rifleman"
"4137","Fantail","Harrier","Kererū","Takahē","Tūī"
"4138","Banded Dotterel","Shining Cuckoo","Bellbird","Black Robin","Stitchbird"
"4139","Rock Wren","New Zealand Falcon","New Zealand Dotterel","Mōhua","Fernbird"
"4140","Banded Dotterel","Yellow-eyed penguin","Fairy Tern","Little Spotted Kiwi","South Island Kōkako"
"4141","Banded Dotterel","Little Spotted Kiwi","Kākāpō","Tūī","Takahē"
"4142","Great Spotted Kiwi","Takahē","Kea","Kākā","Kōkako"
"4143","Yellow-eyed penguin","Orange-fronted Parakeet","Fairy Tern","Black Robin","Kākāpō"
"4144","South Island Kōkako","Kōkako","Spotted Shag","Brown Teal","Rockhopper Penguin"
"4145","Banded Dotterel","Yellow-eyed penguin","Tūī","Kākāpō","South Island Kōkako"
"4146","Blue Duck","Black Robin","Black Stilt","Banded Dotterel","Mōhua"
"4147","Yellow-eyed penguin",NA,NA,NA,NA
"4148","Yellow-eyed penguin",NA,NA,NA,NA
"4149","Banded Dotterel","Blue Duck","Black Robin","Chatham Island Mollymawk","Kākāpō"
"4150","Yellow-eyed penguin","Antipodean Albatross","Banded Dotterel","Chatham Island Mollymawk","Little Spotted Kiwi"
"4151","Antipodean Albatross","Banded Dotterel","Bittern","Black Robin","Blue Duck"
"4152","Little Spotted Kiwi","Black-fronted Tern","Blue Duck","Fiordland Crested Penguin","Rockhopper Penguin"
"4153","Bar-tailed Godwit","Blue Duck","Stitchbird","Shining Cuckoo","Takahē"
"4154","Mōhua","Yellow-eyed penguin","Orange-fronted Parakeet","Antipodean Albatross","Blue Duck"
"4155","Stitchbird","Fiordland Crested Penguin","Australasian Crested Grebe","Kākā","Kōkako"
"4156","Fantail","Little Penguin","Kākā","Morepork","Yellow-eyed penguin"
"4157","Little Spotted Kiwi","Black Robin","Kākā","Fantail","Banded Dotterel"
"4158","Bellbird","Black Petrel","Black-billed Gull","Fantail","Tūī"
"4159","Pūkeko","Harrier","Fantail","Barn Owl","Kākāpō"
"4160","Bittern","Black Robin","Kākāpō","Mōhua","Orange-fronted Parakeet"
"4161","Bellbird","Morepork","Kererū","Kingfisher","Silvereye"
"4162","Wrybill","Kingfisher","Banded Dotterel","New Zealand Dotterel","Barn Owl"
"4163","Black Robin","Fiordland Crested Penguin","Little Spotted Kiwi","Orange-fronted Parakeet","Shore Plover"
"4164","Banded Dotterel","Black Robin","Mōhua","New Zealand Dotterel","Orange-fronted Parakeet"
"4165","Rock Wren","Royal Spoonbill","South Island Kōkako","Kākā","Hutton's Shearwater"
"4166","Kea","Kākā","Tūī","Kererū","Kingfisher"
"4167","South Polar Skua","Arctic Skua","Antipodean Albatross","Chatham Island Mollymawk","Chatham Island Oystercatcher"
"4168","Banded Dotterel","Kōkako","Rifleman","Fiordland Crested Penguin","Morepork"
"4169","Blue Duck","Yellow-eyed penguin","Black Robin",NA,NA
"4170","Kea","Kākāpō","Weka","Fernbird","White Heron"
"4171","Yellow-eyed penguin","Blue Duck","Kākāpō","Kākā","Southern Brown Kiwi"
"4172","Fairy Tern","Banded Dotterel","Takahē","Black Robin","Chatham Island Oystercatcher"
"4173","Yellow-eyed penguin","Kingfisher","Saddleback","Rifleman","Little Spotted Kiwi"
"4174","Kākā","Black Robin","Fernbird","Blue Duck","Kea"
"4175","Grey Duck","Black-billed Gull","Fantail","Saddleback","Tūī"
"4176","Banded Dotterel","Black Robin","Black-billed Gull","Blue Duck","Little Penguin"
"4177","Yellow-eyed penguin",NA,NA,NA,NA
"4178","Yellow-eyed penguin",NA,NA,NA,NA
"4179","Fantail","Kererū","Kea","Kingfisher","Kākā"
"4180","Saddleback","Banded Dotterel","Kākā","Blue Duck","Fairy Tern"
"4181","Yellow-eyed penguin","Wrybill","White Heron","Whenua Hou Diving Petrel","Stitchbird"
"4182","Black Robin","Blue Duck","Kea","Weka","Fantail"
"4183","Yellow-eyed penguin",NA,NA,NA,NA
"4184","Bittern","Fernbird","Wrybill","Fairy Tern","Variable Oystercatcher"
"4185","Blue Duck","Kākāpō","Morepork","North Island Brown Kiwi","Yellow-eyed penguin"
"4186","Yellow-eyed penguin","Mōhua","Tūī","Takahē","Fiordland Crested Penguin"
"4187","South Island Kōkako","Southern Brown Kiwi","Morepork","New Zealand Falcon","North Island Brown Kiwi"
"4188","South Island Kōkako","Antipodean Albatross","Banded Dotterel","Yellow-eyed penguin","Fairy Tern"
"4189","Yellow-eyed penguin","Little Spotted Kiwi","Orange-fronted Parakeet","Saddleback",NA
"4190","Antipodean Albatross","Banded Dotterel","Bittern","Black Robin","Black Stilt"
"4191","Tūī","Black Robin","Blue Duck","Kea","Orange-fronted Parakeet"
"4192","Black Robin","Orange-fronted Parakeet","Banded Dotterel","Kōkako","Tūī"
"4193","Kākāpō","Banded Dotterel","Little Penguin","North Island Brown Kiwi","Kōkako"
"4194","Wrybill","Tomtit","Banded Dotterel","Mōhua","Bittern"
"4195","Fantail","South Island Pied Oystercatcher","New Zealand Dotterel","Banded Dotterel","New Zealand Robin"
"4196","Yellow-eyed penguin","The Otago Shag","Antipodean Albatross","Kākāpō","Black Stilt"
"4197","Kākā","Yellow-eyed penguin","Gibson's Albatross","Orange-fronted Parakeet","New Zealand Dotterel"
"4198","South Polar Skua","Antipodean Albatross","Bittern","Fernbird","Buller's Mollymawk"
"4199","Yellow-eyed penguin","Tūī","South Island Kōkako","New Zealand Falcon","Kākāpō"
"4200","Kea","Little Spotted Kiwi","Chatham Island Mollymawk","Kākāpō","Tūī"
"4201","Orange-fronted Parakeet","Kea","New Zealand Dotterel","Blue Duck","South Polar Skua"
"4202","New Zealand Falcon","Yellow-eyed penguin","Kingfisher","Kererū","Morepork"
"4203","Yellow-eyed penguin",NA,NA,NA,NA
"4204","New Zealand Falcon","New Zealand Robin","Black Robin","Morepork","Kākā"
"4205","Shore Plover","Yellow-eyed penguin","Kākāpō","Blue Duck","Kākā"
"4206","Kākā","Kākāpō","Yellow-eyed penguin","Kōkako","Stitchbird"
"4207","Banded Dotterel","Hutton's Shearwater",NA,NA,NA
"4208","Whenua Hou Diving Petrel","Rockhopper Penguin","Yellow-eyed penguin","Kākāpō","Kākā"
"4209","Tūī","New Zealand Dabchick","Kea","Kākāpō","Fantail"
"4210","Fantail","Kea","Kākāpō","New Zealand Falcon","Little Spotted Kiwi"
"4211","Tūī","Australasian Crested Grebe","Fantail","Fiordland Crested Penguin","White Heron"
"4212","Yellow-eyed penguin","Westland Petrel","Black Petrel","South Island Kōkako","Bittern"
"4213","Antipodean Albatross","Kea","New Zealand Falcon","Morepork","South Polar Skua"
"4214","Kākāpō","Kōkako","Kākā","Kererū","Kea"
"4215","Gibson's Albatross","Kākā","Morepork","Fiordland Crested Penguin","Grey Warbler"
"4216","Takahē","Kākā","Kingfisher","Antipodean Albatross","Black Robin"
"4217","Yellow-eyed penguin","Takahē","Fantail","Australasian Gannet","Black Robin"
"4218","Kākāpō","Orange-fronted Parakeet","Kākā","Yellow-eyed penguin","Saddleback"
"4219","Fairy Tern","Kingfisher","Rockhopper Penguin","Takahē","Banded Dotterel"
"4220","Yellow-eyed penguin","Kea","Rock Wren","Little Penguin","New Zealand Robin"
"4221","Yellow-eyed penguin","Stitchbird","Kākā","Whitehead","Morepork"
"4222","Kingfisher","Black Robin","Orange-fronted Parakeet","Shining Cuckoo","Kākā"
"4223","Takahē","Yellow-eyed penguin","Little Spotted Kiwi","Banded Dotterel","Southern Brown Kiwi"
"4224","Black Robin","Black Stilt","Blue Duck","Mōhua","Chatham Island Oystercatcher"
"4225","Silvereye","Yellow-eyed penguin","Chatham Island Oystercatcher","Kākāpō","Morepork"
"4226","Yellow-eyed penguin","Bittern","Black Petrel","Westland Petrel","Mōhua"
"4227","Kākāpō",NA,NA,NA,NA
"4228","Stitchbird","North Island Brown Kiwi","Takahē","Kākāpō","Campbell Black-Browed Albatross"
"4229","Bellbird","Blue Duck","Chatham Island Mollymawk","Fantail","Grey Warbler"
"4230","New Zealand Falcon","Kererū","Tūī","Fantail","Grey Warbler"
"4231","Mōhua","Australasian Crested Grebe","Banded Dotterel","Black Stilt","Fernbird"
"4232","White Heron","Morepork","New Zealand Falcon","Australasian Crested Grebe","Fantail"
"4233","Black Robin","Tūī","New Zealand King Shag","New Zealand Falcon","Kākāpō"
"4234","Kea","Banded Dotterel","Barn Owl","Tūī","Wrybill"
"4235","New Zealand Falcon","Black Stilt","Yellow-eyed penguin","Kākā","Little Penguin"
"4236","Fantail","Kererū","Tūī","Kea","Kākā"
"4237","Yellow-eyed penguin","Rockhopper Penguin","Black Stilt","Kea","New Zealand Falcon"
"4238","Stitchbird","Fantail","Fiordland Crested Penguin","Rockhopper Penguin","Whitehead"
"4239","Banded Dotterel","New Zealand Dotterel","Saddleback","Orange-fronted Parakeet","New Zealand Falcon"
"4240","Yellow-eyed penguin","Black-billed Gull","Spotted Shag","Blue Duck","Tūī"
"4241","Kākā","South Island Kōkako","Black Petrel","Southern Brown Kiwi","Black Robin"
"4242","Bellbird","Brown Teal","Kingfisher","New Zealand Falcon","Kākāpō"
"4243","New Zealand Dotterel","Banded Dotterel","Hutton's Shearwater","Fantail","Tomtit"
"4244","Little Penguin","Rockhopper Penguin","Antipodean Albatross","Blue Duck","Great Spotted Kiwi"
"4245","Australasian Crested Grebe","Bittern","Harrier","New Zealand Falcon","Weka"
"4246","Black Robin","Rifleman","Tūī","Kākāpō","Fantail"
"4247","Black shag","Blue Duck","Fantail","Harrier","Kākā"
"4248","Bittern",NA,NA,NA,NA
"4249","Yellow-eyed penguin","Saddleback","Fairy Tern","Banded Dotterel","South Polar Skua"
"4250","Saddleback","Blue Duck","Weka","Takahē","Fiordland Crested Penguin"
"4251","Morepork",NA,NA,NA,NA
"4252","Southern Brown Kiwi","Kererū","Rockhopper Penguin","Little Spotted Kiwi","Yellow-eyed penguin"
"4253","Yellow-eyed penguin","Fantail","Tūī","Kākāpō","Kea"
"4254","White Heron","Fiordland Crested Penguin","South Island Kōkako","New Zealand Falcon","Morepork"
"4255","Black Robin","Blue Duck","Chatham Island Oystercatcher","Kākāpō","Little Spotted Kiwi"
"4256","Mōhua","Fiordland Crested Penguin","Kererū","Whitehead","Banded Dotterel"
"4257","Kea","Antipodean Albatross","Black Stilt","Little Penguin","Yellow-eyed penguin"
"4258","Yellow-eyed penguin","Little Penguin","Rockhopper Penguin","North Island Brown Kiwi","Tūī"
"4259","Kea","Black Robin","South Island Kōkako","New Zealand Dotterel","Saddleback"
"4260","Kākāpō","Morepork","Orange-fronted Parakeet","South Island Kōkako","Tūī"
"4261","Kākāpō","Kōkako","Kererū","Kea","Fiordland Crested Penguin"
"4262","Yellow-eyed penguin","Kea","Blue Duck","Orange-fronted Parakeet","Saddleback"
"4263","Shore Plover","Little Spotted Kiwi","New Zealand Falcon","The Otago Shag","Kākāpō"
"4264","Kākāpō","Morepork","Tūī",NA,NA
"4265","Mōhua","Black Robin","Orange-fronted Parakeet","Southern Brown Kiwi","Banded Dotterel"
"4266","Yellow-eyed penguin","Northern Royal Albatross","Southern Royal Albatross","Gibson's Albatross","Antipodean Albatross"
"4267","Black shag","Takahē","Little Penguin","Kingfisher","Pūkeko"
"4268","Blue Duck","Orange-fronted Parakeet","Mōhua","Kākāpō","Kea"
"4269","Bellbird","Tūī","Tomtit","Australasian Crested Grebe","New Zealand Falcon"
"4270","Tūī","Fantail","Kākāpō","Blue Duck","Morepork"
"4271","Yellow-eyed penguin","Black Robin","Takahē","Great Spotted Kiwi","South Island Kōkako"
"4272","Yellow-eyed penguin","Kākā","Little Spotted Kiwi","Antipodean Albatross","New Zealand Falcon"
"4273","Morepork","Yellow-eyed penguin","Saddleback","Royal Spoonbill","Rockhopper Penguin"
"4274","Saddleback","Royal Spoonbill","Kea","Banded Dotterel","Shore Plover"
"4275","Saddleback","Rock Wren","Stitchbird","Black Robin","Kākāpō"
"4276","The Otago Shag","Orange-fronted Parakeet","Black Robin","South Island Kōkako","Black Stilt"
"4277","Barn Owl","Fiordland Crested Penguin","Great Spotted Kiwi","Harrier","New Zealand Falcon"
"4278","Fantail","Morepork","New Zealand Falcon","Little Penguin","Kea"
"4279","Fantail","Kererū","Great Spotted Kiwi","Banded Dotterel","Fairy Tern"
"4280","Yellow-eyed penguin","Fantail","Rockhopper Penguin","Banded Dotterel","New Zealand Dabchick"
"4281","Rock Wren","Blue Duck","Fiordland Crested Penguin","Kākā","Kākāpō"
"4282","Kākāpō","Kea","Black Robin","Hutton's Shearwater","Bellbird"
"4283","Kea","Kākā","New Zealand Falcon","Orange-fronted Parakeet","Tūī"
"4284","Pūkeko","Fiordland Crested Penguin","Banded Dotterel","Great Spotted Kiwi","Little Penguin"
"4285","Kingfisher","Grey Warbler","Morepork","Fantail","Australasian Gannet"
"4286","Yellow-eyed penguin","The Otago Shag","Southern Royal Albatross","Black Robin","South Island Kōkako"
"4287","Yellow-eyed penguin","Southern Brown Kiwi","Hutton's Shearwater","Great Spotted Kiwi","Gibson's Albatross"
"4288","Tūī","Banded Dotterel","Barn Owl","Black Robin","South Island Kōkako"
"4289","New Zealand Falcon","Black Robin","Black Petrel","Bittern","South Island Kōkako"
"4290","New Zealand Falcon","Black Robin","New Zealand Dotterel","New Zealand Robin","Rockhopper Penguin"
"4291","Yellow-eyed penguin","Takahē","Fantail","Bellbird",NA
"4292","Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin","Little Penguin","Southern Royal Albatross"
"4293","Antipodean Albatross","Australasian Crested Grebe","Banded Dotterel","Blue Duck","Fiordland Crested Penguin"
"4294","Yellow-eyed penguin",NA,NA,NA,NA
"4295","Antipodean Albatross","Australasian Crested Grebe","Banded Dotterel","Bittern","Kākā"
"4296","Kea","Black Robin","Kingfisher","Kākā","Blue Duck"
"4297","Blue Duck","Little Spotted Kiwi","Banded Dotterel","Yellow-eyed penguin","Shore Plover"
"4298","Bittern","Banded Dotterel","Black-fronted Tern","Fairy Tern","Orange-fronted Parakeet"
"4299","Kākāpō","Kākā","Fairy Tern","Black Robin","North Island Brown Kiwi"
"4300","Banded Dotterel","Kākā","Yellow-eyed penguin","Royal Spoonbill","White Heron"
"4301","Banded Dotterel","Bittern","Chatham Island Mollymawk","Pūkeko","Stitchbird"
