"","id","day","airline","destination","dest_region","dest_size","boarding_area","dept_time","wait_min","cleanliness","safety","satisfaction"
"1803",1399,"Tuesday","UNITED INTL","PARIS-DE GAULLE","Europe","Hub","Gates 91-102","2018-12-31",105,"Somewhat clean","Very safe","Somewhat satsified"
"1804",1947,"Saturday","AIR FRANCE/KLM","PARIS-DE GAULLE","Europe","Hub","Gates 1-12","2018-12-31",185,"Somewhat clean","Very safe","Somewhat satsified"
"1805",424,"Sunday","UNITED","INDIANAPOLIS","Midwest US","Medium","Gates 60-69","2018-12-31",113,"Somewhat clean","Very safe","Somewhat satsified"
"1806",3094,"Sunday","COPA","PANAMA CITY","Central/South America","Medium","Gates 1-12","2018-12-31",113,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1807",3253,"Tuesday","UNITED","SAN DIEGO","West US","Medium","Gates 70-90","2018-12-31",360,"Somewhat clean","Somewhat safe","Neutral"
"1808",459,"Sunday","ALASKA","LAS VEGAS","West US","Hub","Gates 50-59","2018-12-31",90,"Clean","Very safe","Neutral"
"1809",2783,"Sunday","WOW","REYKJAVIK","Europe","Small","Gates 1-12","2018-12-31",160,"Somewhat clean","Very safe","Somewhat satsified"
"1810",671,"Thursday","UNITED","NEWARK","East US","Hub","Gates 70-90","2018-12-31",165,"Clean","Very safe","Somewhat satsified"
"1811",779,"Wednesday","AMERICAN","LOS ANGELES","West US","Hub","Gates 50-59","2018-12-31",120,"Clean","Very safe","Somewhat satsified"
"1812",1258,"Thursday","CHINA EASTERN","SHANGHAI","Asia","Hub","Gates 1-12","2018-12-31",130,"Clean","Very safe","Somewhat satsified"
"1813",1804,"Monday","UNITED INTL","LONDON HEATHROW","Europe","Hub","Gates 91-102","2018-12-31",140,"Somewhat clean","Very safe","Somewhat satsified"
"1814",1934,"Saturday","AIR FRANCE/KLM","PARIS-DE GAULLE","Europe","Hub","Gates 1-12","2018-12-31",305,"Clean","Very safe","Somewhat satsified"
"1815",2071,"Thursday","AMERICAN","PHILADELPHIA","East US","Large","Gates 50-59","2018-12-31",147,"Somewhat clean","Very safe","Somewhat satsified"
"1816",418,"Sunday","UNITED","HONOLULU","West US","Medium","Gates 70-90","2018-12-31",195,"Somewhat clean","Very safe","Somewhat satsified"
"1817",1475,"Tuesday","ALASKA","NEW YORK-JFK","East US","Hub","Gates 50-59","2018-12-31",280,"Somewhat clean","Neutral","Somewhat satsified"
"1818",2260,"Wednesday","WOW","REYKJAVIK","Europe","Small","Gates 91-102","2018-12-31",430,"Somewhat clean","Very safe","Somewhat satsified"
