"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Service Support","Army Reserve","Female",75.8,0.912,1.751
"Combat Service Support","Army Reserve","Female",67.9,0.941,1.583
"Combat Service Support","Army Reserve","Female",68.4,0.854,1.627
"Combat Service Support","Army Reserve","Female",67.7,0.885,1.586
"Combat Service Support","Army Reserve","Female",61.7,0.783,1.675
"Combat Service Support","Army Reserve","Female",71.7,0.927,1.606
"Combat Support","Army Reserve","Female",64.2,0.785,1.68
"Combat Service Support","Army Reserve","Female",74,0.858,1.773
"Combat Support","Army Reserve","Female",79.2,0.958,1.68
"Combat Support","Army Reserve","Female",58.1,0.707,1.645
"Combat Service Support","Army Reserve","Female",72.7,1.004,1.558
"Combat Support","Army National Guard","Female",70.4,0.905,1.665
"Combat Support","Army Reserve","Female",65.3,0.989,1.601
"Combat Support","Army National Guard","Female",72.5,0.906,1.658
"Combat Support","Army National Guard","Female",72.1,0.854,1.623
"Combat Support","Army National Guard","Female",56.1,0.738,1.661
"Combat Service Support","Army National Guard","Female",58.3,0.784,1.563
"Combat Service Support","Army National Guard","Female",67.7,0.871,1.63
"Combat Service Support","Army National Guard","Female",57.6,0.811,1.528
"Combat Service Support","Army National Guard","Female",55.9,0.728,1.653
"Combat Service Support","Army National Guard","Female",46.8,0.763,1.512
"Combat Service Support","Army National Guard","Female",56.7,0.793,1.629
"Combat Service Support","Army National Guard","Female",82,1.001,1.675
"Combat Service Support","Army National Guard","Female",66.4,0.922,1.498
"Combat Support","Army National Guard","Female",62.6,0.829,1.538
"Combat Service Support","Army National Guard","Female",65.3,0.85,1.567
"Combat Service Support","Army National Guard","Female",53.9,0.731,1.59
"Combat Service Support","Army National Guard","Female",75,0.996,1.573
"Combat Support","Army National Guard","Female",70.4,0.871,1.595
"Combat Service Support","Army National Guard","Female",67.5,1.036,1.61
"Combat Service Support","Army National Guard","Female",64,0.835,1.565
"Combat Service Support","Army National Guard","Female",47,0.665,1.523
"Combat Service Support","Army National Guard","Female",50.2,0.671,1.57
"Combat Service Support","Army National Guard","Female",59.7,0.769,1.556
"Combat Service Support","Army National Guard","Female",64.6,0.85,1.599
"Combat Service Support","Regular Army","Female",72.6,0.936,1.611
"Combat Arms","Regular Army","Female",63.1,0.758,1.681
"Combat Support","Regular Army","Female",63.1,0.888,1.585
"Combat Service Support","Regular Army","Female",66,0.941,1.614
"Combat Service Support","Regular Army","Female",78.9,0.812,1.674
"Combat Support","Army National Guard","Female",53.1,0.704,1.653
"Combat Support","Army National Guard","Female",70.8,1.027,1.593
"Combat Support","Army Reserve","Female",62.5,0.885,1.592
"Combat Support","Army National Guard","Female",68,0.872,1.617
"Combat Support","Army National Guard","Female",73.4,1.041,1.589
"Combat Support","Army National Guard","Female",68.8,0.859,1.597
"Combat Support","Army National Guard","Female",84,1.022,1.698
"Combat Support","Army National Guard","Female",64.7,0.79,1.619
"Combat Support","Army National Guard","Female",56.1,0.711,1.663
"Combat Support","Army National Guard","Female",73.5,0.941,1.606
"Combat Support","Army National Guard","Female",73.3,1.076,1.609
"Combat Arms","Army National Guard","Female",60.5,0.797,1.696
"Combat Service Support","Army National Guard","Female",72.2,0.904,1.723
"Combat Support","Army National Guard","Female",90.8,0.979,1.748
"Combat Support","Army National Guard","Female",76,0.888,1.695
"Combat Support","Army National Guard","Female",60.6,0.769,1.648
"Combat Service Support","Army National Guard","Female",57.3,0.807,1.579
"Combat Service Support","Army National Guard","Female",60.2,0.839,1.587
"Combat Support","Army National Guard","Female",66.9,0.975,1.604
"Combat Service Support","Army National Guard","Female",82.9,1.127,1.603
"Combat Support","Army National Guard","Female",76.5,0.93,1.712
"Combat Service Support","Army National Guard","Female",67.1,0.907,1.628
"Combat Service Support","Army National Guard","Female",58.9,0.919,1.52
